date,region,product,revenue,units,discount
2023-01-15,North,Widget A,1200.50,45,0.05
2023-02-20,South,Widget B,980.00,30,0.10
2023-03-10,North,Widget A,1500.75,60,0.00
2023-04-05,East,Widget C,750.25,20,0.15
2023-05-18,West,Widget B,1100.00,40,0.05
2023-06-22,North,Widget A,1350.00,55,0.00
2023-07-30,,Widget C,620.00,15,0.20
2023-08-14,South,Widget A,1450.50,50,0.05
2023-09-01,East,,890.75,35,0.10
2023-10-19,West,Widget B,1050.00,38,0.00
2023-11-25,North,Widget C,780.00,22,0.15
2023-12-31,South,Widget A,1600.00,65,0.00
2024-01-10,East,Widget B,920.50,28,0.10
2024-02-14,West,Widget C,,18,0.20
2024-03-20,North,Widget A,1380.25,52,0.05
2024-04-08,South,Widget B,1020.00,33,0.10
2024-05-15,,Widget A,1550.75,58,0.00
2024-06-28,East,Widget C,700.00,19,0.15
2024-07-04,West,Widget B,1150.00,42,0.05
2024-08-19,North,Widget A,1480.00,56,0.00
2024-09-12,South,Widget C,830.50,25,0.15
2024-10-01,East,Widget B,960.00,31,0.10
2024-11-15,West,Widget A,1320.00,48,0.05
2024-12-20,North,,1700.00,70,0.00
2025-01-08,South,Widget B,1080.25,36,0.10
